no,date,open,high,low,close,volume
264,2015-04-14,224,224.8,216.03,218.91,26824.693
265,2015-04-15,218.92,224,218.21,223.81,18336.379
266,2015-04-16,223.8,229.5,223.74,228.1,21509.772
267,2015-04-17,228.14,228.89,220.89,222.19,16824.171
268,2015-04-18,222.19,224.2,220.05,222.66,11462.377
269,2015-04-19,222.47,226.09,220.88,221.23,14940.512
270,2015-04-20,221.31,225.9,220.68,224.25,15982.641
271,2015-04-21,224.24,236.02,223.94,235.29,18745.811
272,2015-04-22,235.36,238.48,233.62,234.14,16542.095
273,2015-04-23,234.09,236.82,232.93,236.01,8157.591
274,2015-04-24,236,236,229.75,231,17593.659
275,2015-04-25,230.98,232.57,225.83,226.2,11644.988
276,2015-04-26,226.16,227.25,214.3,218.71,25493.59
277,2015-04-27,218.67,230.25,216.33,226.97,21946.332
278,2015-04-28,226.96,227.34,221.49,224.18,13492.019
279,2015-04-29,224.52,226.04,222.1,224.39,18851.2
280,2015-04-30,224.45,238.48,223.42,234.62,25910.353
281,2015-05-01,234.57,238.9,230.92,230.97,15656.548
282,2015-05-02,231.13,235.98,231.13,234.61,9225.2587
283,2015-05-03,234.62,243.5,233.61,239.86,15405.944
284,2015-05-04,239.82,242.65,237.86,239.06,15361.074
285,2015-05-05,239.1,239.36,232.01,236.11,21466.933
286,2015-05-06,236.12,236.62,227.89,229.29,26085.132
287,2015-05-07,229.29,240.09,227.81,237.48,27811.839
288,2015-05-08,237.48,248.01,235.92,244.04,21804.116
289,2015-05-09,244,248,238.27,241.4,22094.573
290,2015-05-10,241.49,244.72,238.03,239.96,14521.317
291,2015-05-11,239.92,244.27,239,242.14,20166.064
292,2015-05-12,242.14,243,239.01,240.58,15919.615
293,2015-05-13,241.1,244.06,233.54,235.64,21723.784
294,2015-05-14,235.63,238.5,231.79,236.55,18411.43
295,2015-05-15,236.55,238.28,234.89,236.95,12600.135
296,2015-05-16,237.04,237.16,234.22,235.64,7224.753
297,2015-05-17,235.65,237.5,235.23,236.3,9627.645
298,2015-05-18,236.3,236.7,231.5,232.93,11888.907
299,2015-05-19,232.93,234,230.69,231.42,9222.638
300,2015-05-20,231.42,234.84,231.07,233.23,10701.304
301,2015-05-21,233.23,235.99,233.16,235.07,10694.853
302,2015-05-22,235.07,240.78,234.6,240.05,18341.7669
303,2015-05-23,240.05,241.46,237.26,238.18,10116.9276
304,2015-05-24,238.18,241.72,236,240.24,10589.335
305,2015-05-25,240.24,240.98,236,237.11,9813.837
306,2015-05-26,237.11,238.09,234.75,237.03,9687.006
307,2015-05-27,237.03,239.16,235.68,237.29,9998.486
308,2015-05-28,237.2,238.12,236.07,236.86,8634.446
309,2015-05-29,236.93,237.16,234.59,236.69,8553.57
310,2015-05-30,236.69,236.76,231.66,233.23,10348.754
311,2015-05-31,233.23,233.65,228.84,230.42,9799.734
312,2015-06-01,230.42,231.75,220,222.17,17839.12
